"Nom_Diplôme","Ecole","Career","Employement_Opportunities","Ancienne_Diplome","Filiere","Durée","Mention_Bac","Ville","Matieres_Diplome","Matieres_Etudiant"
"Architecte_EA-UIR","EA-UIR","['Urbanisme', 'Design', 'Architecture']","['Urbaniste', 'Architecte']","['BAC SM', 'BAC SP']","['SP', 'LSH']","6","Mention Très Bien","Salé","['Matériaux', 'Urbanisme', 'Conception Architecturale']","['Mathématiques', 'Arts']"
"Architecte_ENA","ENA","['Urbanisme', 'Design', 'Architecture']","['Urbaniste', 'Architecte']","['BAC SM', 'BAC SP']","['SP', 'LSH']","6","Mention Très Bien","Marrakech","['Matériaux', 'Urbanisme', 'Conception Architecturale']","['Mathématiques', 'Arts']"
"Bachelor en Administration des Affaires_SB-AUI","SB-AUI","['Commerce', 'Marketing', 'Management', 'Gestion', 'Tourisme', 'Hôtellerie', 'Service', 'Gestion de projet', 'Organisation', 'Administration']","['Manager', 'Entrepreneur']","['BAC SM', 'BAC SP']","['SM', 'SEG']","4","Mention Très Bien","Ifrane","['Management', 'Finance', 'Marketing']","['Mathématiques', 'Économie']"
"Bachelor en Génie Informatique_SSE-AUI","SSE-AUI","['Ingénierie', 'Technologie', 'Conception', 'Informatique', 'Programmation']","['Développeur Logiciel', 'Ingénieur Systèmes']","['BAC SM', 'BAC SP']","['SM', 'SP']","4","Mention Très Bien","Ifrane","['Programmation', 'Systèmes Informatiques', 'Réseaux']","['Informatique', 'Mathématiques']"
"Bachelor en Études Internationales_SHSS-AUI","SHSS-AUI","['Commerce', 'Relations Internationales', 'Politique']","['Diplomate', 'Analyste Politique']","['BAC SM', 'BAC SP']","['LSH']","4","Mention Très Bien","Ifrane","['Relations Internationales', 'Histoire Globale', 'Économie Politique']","['Philosophie', 'Histoire']"
"Chirurgien Dentiste_FMD","FMD","['Santé', 'Médecine Dentaire', 'Odontologie']","['Dentiste', 'Chirurgien Dentaire']","['[BAC SM, BAC SP2019s degree required']","['SP', 'SVT']","5","Mention Très Bien","Casablanca","['Odontologie', 'Chirurgie Dentaire', 'Prothèse']","['Chimie', 'Biologie']"
"Classes Préparatoires MPSI_CPGE-AG","CPGE-AG","['Mathématiques', 'Physique', 'Sciences']","['[Étudiant en École dIngénieurs]']","['BAC SM']","['SM']","2","Mention Très Bien","Agadir","['Mathématiques', 'Physique', 'Informatique']","['Mathématiques', 'Physique']"
"Classes Préparatoires MPSI_CPGE-MK","CPGE-MK","['Mathématiques', 'Physique', 'Sciences']","['[Étudiant en École dIngénieurs]']","['BAC SM']","['SM']","2","Mention Très Bien","Meknès","['Mathématiques', 'Physique', 'Informatique']","['Mathématiques', 'Physique']"
"Classes Préparatoires MPSI_CPGE-RB","CPGE-RB","['Mathématiques', 'Physique', 'Sciences']","['[Étudiant en École dIngénieurs]']","['BAC SM']","['SM']","2","Mention Très Bien","Rabat","['Mathématiques', 'Physique', 'Informatique']","['Mathématiques', 'Physique']"
"Classes Préparatoires MPSI_CPGE-TNG","CPGE-TNG","['Mathématiques', 'Physique', 'Sciences']","['[Étudiant en École dIngénieurs]']","['BAC SM']","['SM']","2","Mention Très Bien","Tanger","['Mathématiques', 'Physique', 'Informatique']","['Mathématiques', 'Physique']"
